"sentence","startTime","endTime","speaker_id","speaker_name"
"Fala, turma!","01:03","01:04",0,"speaker 1"
"E aí, pessoal!","01:04","01:05",1,"speaker 2"
"E aí, turma, tudo bem?","01:05","01:07",2,"speaker 3"
"Tudo bem, Rafael?","01:07","01:09",0,"speaker 1"
"Tudo bem, e vocês?","01:09","01:10",1,"speaker 2"
"Tudo bem!","01:10","01:11",3,"speaker 4"
"Demais!","01:11","01:13",2,"speaker 3"
"Boa!","01:13","01:13",3,"speaker 4"
"Tô me aguentando aqui pra entrar, só minutinho.","01:13","01:16",1,"speaker 2"
"Beleza!","01:16","01:18",3,"speaker 4"
"O Gui tá entrando também.","01:18","01:21",4,"speaker 5"
"Beleza!","01:21","01:22",2,"speaker 3"
"O Gui tá entrando aqui já também.","01:22","01:24",2,"speaker 3"
"Boa!","01:24","01:24",4,"speaker 5"
"O Marcinho falou que vai se atrasar, mas ele vai ver o Fireflys aí depois, então tá tranquilo.","01:24","01:29",2,"speaker 3"
"Boa!","01:29","01:30",0,"speaker 1"
"Show!","01:30","01:30",3,"speaker 4"
"Maravilha.","01:34","01:35",4,"speaker 5"
"Tô esperando o Gui.","01:35","01:38",1,"speaker 2"
"Meu Deus.","01:38","01:40",3,"speaker 4"
"Eu acho que vai ficar pouco desagradável, né?","02:06","02:08",3,"speaker 4"
"Eu acho que vai ficar pouco desagradável, né?","02:08","02:36",3,"speaker 4"
"Alguém.","02:37","02:40",3,"speaker 4"
"Tem que aprovar ele entrar aí.","02:55","02:58",1,"speaker 2"
"boa.","02:58","03:02",0,"speaker 1"
"Entrou e saiu.","03:02","03:04",1,"speaker 2"
"saiu?","03:05","03:07",0,"speaker 1"
"Ficou ofendido.","03:07","03:09",2,"speaker 3"
"Brincadeira.","03:09","03:10",2,"speaker 3"
"Desculpa, não vou aprovar não.","03:10","03:12",0,"speaker 1"
"Boa, podia negar algo mesmo.","03:12","03:16",2,"speaker 3"
"E aí?","03:16","03:16",2,"speaker 3"
"E aí?","03:16","03:18",4,"speaker 5"
"Como é que vocês estão?","03:18","03:21",4,"speaker 5"
"Bem amassada.","03:21","03:24",3,"speaker 4"
"Por que?","03:24","03:27",3,"speaker 4"
"Estava amassada semana passada?","03:27","03:28",4,"speaker 5"
"Bom, semana passada começou com a AWS, né?","03:29","03:32",3,"speaker 4"
"A gente sofreu relativamente menos porque a gente é...","03:32","03:37",3,"speaker 4"
"A gente tem a AWS, mas a gente está na GCP agora.","03:37","03:40",3,"speaker 4"
"Mas os nossos clientes são VTECs que sofreram.","03:40","03:43",3,"speaker 4"
"Então, anyway, todo mundo está hair on fire, né?","03:43","03:46",3,"speaker 4"
"E aí, na terça-feira, a gente teve incidente muito brutal porque provedor nosso do CDN, que é a Asrium, Literalmente fez uma configuração errada na nossa conta e derrubou o tráfego para todas as nossas lojas.","03:46","04:00",3,"speaker 4"
"Aí a gente teve que ir correndo, voltar para a Cloudflare.","04:00","04:03",3,"speaker 4"
"Uma cagada, cara.","04:03","04:04",3,"speaker 4"
"Então sim, semana passada foi bem animada.","04:04","04:07",3,"speaker 4"
"Boa.","04:07","04:08",4,"speaker 5"
"Eu não entendi de porra nenhum o que você falou, mas tudo bem.","04:08","04:11",4,"speaker 5"
"É muita merda, é muita merda.","04:11","04:13",3,"speaker 4"
"Eu entendi e mesmo assim não mudou nada.","04:14","04:17",0,"speaker 1"
"Esse é o tipo de problema que não é controlável, né?","04:17","04:22",0,"speaker 1"
"Bom, esse de mudar a cloud, sim.","04:22","04:26",0,"speaker 1"
"A gente nem sofreu muito com a AWS.","04:26","04:28",0,"speaker 1"
"E outras que a gente está mudando de ramo, né?","04:28","04:31",3,"speaker 4"
"E deixando de vender hosting e passando a vender AI credits, que dá muito mais dinheiro.","04:31","04:37",3,"speaker 4"
"Bota fé.","04:37","04:38",0,"speaker 1"
"Massa.","04:38","04:39",0,"speaker 1"
"Perfeito.","04:39","04:40",2,"speaker 3"
"Bom, vamos lá.","04:40","04:42",4,"speaker 5"
"Seguinte, deixa eu começar aqui, pelo menos com as apresentações e pouco Da ideia e Da visão.","04:42","04:48",4,"speaker 5"
"Eu acho que, cara, aqui são duas empresas relativamente super recentes.","04:48","04:52",4,"speaker 5"
"A gente tem aqui os fundadores, o Gui, o Baby, Da Deco e o Antônio, Da Nect.","04:52","04:59",4,"speaker 5"
"E, cara, são duas empresas que a gente, cara, de uma certa forma, entrou aí de uma forma super especial pra gente, né?","04:59","05:09",4,"speaker 5"
"Ou seja, em diferentes razões e momentos, mas tem empresas que não só a gente escolheu estar junto, mas escolheram a gente pra estar junto, então isso pra gente faz muita diferença, né?","05:09","05:20",4,"speaker 5"
"Acho que esse é relacionamento que a gente cria de longo prazo pra caralho.","05:20","05:24",4,"speaker 5"
"E, cara, acho que são duas… são times parecidos, eu acho que depois vale a pena vocês se conhecerem Fora daqui, acho que a intro tá feita de uma forma até mais engraçada e divertida.","05:24","05:36",4,"speaker 5"
"E a gente pensando em coisas que a gente pode usar aqui.","05:36","05:39",4,"speaker 5"
"Mas, cara, puto… Antônio é o meu irmão… Puta, meu irmão nerd das antigas.","05:39","05:46",4,"speaker 5"
"Meu irmão second time, com uma história linda de vida, assim.","05:46","05:50",4,"speaker 5"
"Fodida, de sociedade, assim.","05:50","05:52",4,"speaker 5"
"Acho que vocês e o Baby vão ter esse… Vai ser legal essa troca, né, por causa que o Antônio… nessa segunda jornada mas relacionamento com sócios cara por mim irmão visão de produto cara várias coisas que a gente eu consigo ver na depo e Da mesma forma do outro lado aqui exatamente parecido só quanto acho que o Gui e o Babson além de ser só super complementares o Gui também é outro é doente técnico fudido socorro Então, assim, milhões de qualidades, eu diria, assim, na física.","05:52","06:29",4,"speaker 5"
"Não fala que eu dei o potencial, viu?","06:29","06:31",3,"speaker 4"
"Dei o potencial, cara.","06:31","06:33",3,"speaker 4"
"Chega de potencial, eu quero ter respeito agora.","06:33","06:36",3,"speaker 4"
"Mas eu acho que tem, cara, realmente é muito legal o que os dois estão construindo.","06:36","06:43",4,"speaker 5"
"E aí a razão de botar vocês dois aqui com uma provocação vindo Da Norte, que é o seguinte, acho que a gente já conversou tanto com Gui, quanto com o Antônio, tanto com o Da, quanto com o Nect, que eu acho que a gente tem algumas coisas na Norte, algumas rotinas de Norte.","06:43","07:03",4,"speaker 5"
"O que eu estou querendo, cada vez mais, é tão complicado.","07:04","07:08",4,"speaker 5"
"A gente vê tanta inovação, a gente vê tanta gente foda do nosso lado.","07:08","07:11",4,"speaker 5"
"Foda-se que eu sou fundo de VC.","07:11","07:14",4,"speaker 5"
"Realmente, eu preciso dar dinheiro, eu preciso investir em bons fundos que vão ganhar dinheiro.","07:14","07:17",4,"speaker 5"
"Sim, isso é a base.","07:17","07:19",4,"speaker 5"
"Mas, caralho, eu estou vendo tanta coisa disruptiva que eu quero trazer isso para dentro Da Norte.","07:19","07:23",4,"speaker 5"
"Eu quero melhorar, eu quero ser diferenciado como fundo.","07:23","07:27",4,"speaker 5"
"E aí, vendo e vendendo, e conhecendo vocês, e falando mais de vocês, entendeu?","07:27","07:33",4,"speaker 5"
"a gente ficou com uma visão, tem algumas coisas que são dores que eu tenho e que eu realmente acho que eu consigo adereçar usando pedaços do que a Nect faz e usando pedaços do que a Deco faz.","07:34","07:47",4,"speaker 5"
"Então, o que eu sugiro até nesse primeiro momento?","07:47","07:50",4,"speaker 5"
"E aí, antes de eu falar o que eu pensei, o cara...","07:50","07:54",4,"speaker 5"
"Puta, eu adoraria que fosse, sei lá, meu irmão, puta...","07:54","07:56",4,"speaker 5"
"Vi e Antônio, Baby.","07:56","07:57",4,"speaker 5"
"Cada fala, conta pouco pra vocês o que é a Deco, o que é a Nect, nas palavras de vocês, pra vocês entenderem pouco de cada contexto, e aí eu trago as minhas dúvidas e maluquices, e a gente pensa junto.","07:57","08:13",4,"speaker 5"
"O que dá para fazer?","08:13","08:14",4,"speaker 5"
"Que tal assim?","08:14","08:15",4,"speaker 5"
"Ótimo.","08:15","08:16",0,"speaker 1"
"Antônio, eu vi a sua landing page que, aliás, está linda, bem cheirosa.","08:16","08:24",3,"speaker 4"
"E, para mim, é muito óbvio que a gente tenha uma parceria e uma integração first class, porque você complementa a nossa proposta de valor absurdamente.","08:24","08:36",3,"speaker 4"
"Por quê?","08:36","08:38",3,"speaker 4"
"A nossa proposta de valor é O software está ficando mais fácil de fazer.","08:38","08:42",3,"speaker 4"
"As pessoas vão fazer mais software interno, ferramentas para quaisquer operações delas do dia a dia.","08:42","08:49",3,"speaker 4"
"E o jeito que a gente está expressando isso...","08:49","08:52",3,"speaker 4"
"Você lembra Da época do PHP MyAdmin, provavelmente?","08:52","08:55",3,"speaker 4"
"Que era o admin de MySQL, né?","08:55","08:58",3,"speaker 4"
"A gente está fazendo o MCP MyAdmin, praticamente.","08:58","09:02",3,"speaker 4"
"A gente é admin open source, web, TypeScript.","09:02","09:05",3,"speaker 4"
"de MCPs.","09:06","09:08",3,"speaker 4"
"Então, o que tem no admin de MCPs?","09:08","09:09",3,"speaker 4"
"Você entra, coloca os MCPs que você já tem e grava seguramente lá seus tokens, chama usuários, dá permissões para eles, aí agora os usuários podem chamar esses MCPs, né?","09:09","09:22",3,"speaker 4"
"Aí agora você está centralizando todo o contexto É rico, né, que você tem para agentes, integrações, workflows e tal, né?","09:22","09:30",3,"speaker 4"
"Aí, em cima disso, você começa a fazer ferramentas baseadas nos seus MCPs.","09:30","09:35",3,"speaker 4"
"E toda ferramenta que você faz vira MCP.","09:35","09:38",3,"speaker 4"
"Então, é composable, né?","09:38","09:40",3,"speaker 4"
"Então, você vai ter ferramentas em cima de ferramentas.","09:40","09:43",3,"speaker 4"
"Então, qual é o grande desafio?","09:43","09:46",3,"speaker 4"
"Os dados estarem limpos, organizados e serem necessários, suficientes e relevantes para a gente usar, para o workflow a gente usar.","09:46","09:57",3,"speaker 4"
"Para a gente é só pedacinho, tá?","09:57","10:00",3,"speaker 4"
"É uma das peças.","10:00","10:01",3,"speaker 4"
"Workflow, UI, é tudo importante.","10:01","10:04",3,"speaker 4"
"Então, me parece que você organiza o dado e seria MCP lindo, que o cara vai lá, instala o MCP na Next, aí entra na conta.","10:05","10:14",3,"speaker 4"
"Agora, todas as suas tabelas estão organizadas como tools aqui e todo mundo pode, dentro Da minha plataforma, usar.","10:14","10:21",3,"speaker 4"
"Cara, eu estou fazendo isso na mão agora para vários apps, que eu tenho que ir na mão, ir na data source, botar nosso SQLzinho e você.","10:21","10:30",3,"speaker 4"
